Species,Year,L1-Country,L2-Province/state,L3-City,L4-District,Location,Lat,Long,SourceType,Journal,Title,PMID,Note
Aedes vexans,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes excrucians,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes cataphylla,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes communis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Culex orientalis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Anopheles sinensis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Anopheles sinensis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Anopheles yatsushiroensis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cataphylla,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cinereus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes communis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cyprius,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes diantaeus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes dorsalis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes excrucians,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes flavescens,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes mercurator,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes pullatus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes punctor,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes sticticus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes vexans,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Culex modestus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Culex pipiens pallens,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Culex vagans,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes communis,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes dorsalis,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes excrucians,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes koreicus,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes mercurator,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pullatus,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sticticus,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex tritaeniorhynchus,2014,China,Heilongjiang,Mudanjiang,Suifenhe,NA,44.412309,131.152546,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles yatsushiroensis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes antuensis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cataphylla,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes communis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cyprius,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes diantaeus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes dorsalis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes esoensis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes excrucians,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes flavescens,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes implictus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes intrudens,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes mercurator,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pionips,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pullatus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sasai,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sibiricus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex orientalis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex rubensis,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex tritaeniorhynchus,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex vagans,2014,China,Heilongjiang,Shuangyashan,Raohe,NA,46.798164,134.013872,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles yatsushiroensis,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cataphylla,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cinereus,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes communis,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cyprius,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes diantaeus,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes dorsalis,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes excrucians,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes flavescens,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes mercurator,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pullatus,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sticticus,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex vagans,2014,China,Heilongjiang,Hegang,Luobei,NA,47.577495,130.828626,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cyprius,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes mercurator,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sticticus,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex vagans,2014,China,Heilongjiang,Heihe,Xunke,NA,49.564252,128.47875,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles heiheensis,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles messeae,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes communis,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cyprius,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes diantaeus,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes dorsalis,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes excrucians,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes flavescens,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes leucomelas,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pullatus,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex rubensis,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex torrentium,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex vagans,2014,China,Heilongjiang,Heihe,NA,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles messeae,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Anopheles sinensis,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cataphylla,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes communis,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cyprius,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes dorsalis,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes excrucians,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes implictus,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes leucomelas,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes mercurator,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes pionips,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes punctor,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sibiricus,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes sticticus,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes vexans,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex modestus,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex pipiens pallens,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Culex vagans,2014,China,Heilongjiang,Daxinganling,Mohe,NA,45.742347,126.661669,Raw_data,中华卫生杀虫药械,黑龙江省中俄边境口岸蚊类调查研究,NA,NA
Aedes cinereus,1957,China,Heilongjiang,Yichun,NA,NA,47.727536,128.841147,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes cinereus,1957,China,Heilongjiang,Heihe,Aihui,Machang,45.742347,126.661669,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes cinereus,1957,China,Heilongjiang,Hegang,Luobei,Taipinggou,47.89514,130.89849,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes cinereus,1957,China,Jilin,Changchun,Jingyue,Jingyuetan,43.783689,125.469017,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes cinereus,1957,China,Liaoning,Dalian,Pulandian,Dashahe,39.741886,122.26177,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes cyprius,1957,China,Heilongjiang,Heihe,Aihui,Machang,45.742347,126.661669,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes diantaeus,1957,China,Heilongjiang,Yichun,Wucui,Wuminhe,47.727374,128.663206,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes diantaeus,1957,China,Heilongjiang,Heihe,Aihui,Machang,45.742347,126.661669,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes diantaeus,1957,China,Heilongjiang,Hegang,Luobei,Taipinggou,47.89514,130.89849,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes diantaeus,1957,China,Heilongjiang,Mudanjiang,Ning'an,NA,44.34072,129.482851,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes excrucians,1957,China,Heilongjiang,Yichun,NA,NA,47.727536,128.841147,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes excrucians,1957,China,Heilongjiang,Heihe,Aihui,Machang,45.742347,126.661669,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes excrucians,1957,China,Liaoning,Dalian,Pulandian,Dashahe,39.741886,122.26177,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Aedes excrucians,1957,China,Heilongjiang,Mudanjiang,Ning'an,NA,44.34072,129.482851,Raw_data,昆虫学报,吉林、黑龙江两省新发现的四种伊蚊,NA,NA
Anopheles lindesayi,NA,China,Liaoning,Huludao,Jianchang,NA,40.824368,119.837124,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles lindesayi,NA,China,Liaoning,Huludao,Suizhong,NA,40.325659,120.344229,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Fuxin,NA,NA,42.021619,121.670323,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Jinzhou,Yixian,NA,41.533087,121.23908,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Jinzhou,NA,NA,41.095119,121.127003,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Huludao,Xingcheng,NA,40.614762,120.72831,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Huludao,Suizhong,NA,40.325659,120.344229,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Jilin,Baishan,Fuxian,NA,42.221208,127.449764,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Anopheles pattoni,NA,China,Liaoning,Dalian,NA,NA,38.914003,121.614682,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Aedes cinereus,NA,China,Heilongjiang,Yichun,NA,NA,47.727536,128.841147,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
Aedes cinereus,NA,China,Heilongjiang,Heihe,Aihui,Machang,45.742347,126.661669,Review,吉林医大学报,东北地区所发现的蚊种及其分布,NA,NA
